# recollida de punts 16/01/2015
const int THRESHOLD = 5;
const int SENSOR_COUNT = 6;<	
const unsigned long TIMEOUT_BETWEEN_HITS = 100000; // in millis

(6,6)
hit: {1483:7 52:11 0:5 659:5 272:8 2010:5 l}
hit: {1445:7 0:9 11:12 672:7 220:9 1430:5 l}
(42,18)
hit: {2057:8 997:8 1008:6 883:5 0:17 2294:5 l}
hit: {1872:5 757:5 768:6 849:5 0:12 2114:5 l}
hit: {2138:9 518:5 1002:5 950:5 0:22 2193:5 l}
hit: {1949:5 934:10 945:6 824:5 0:16 2068:5 l}
hit: {2050:6 972:6 983:8 923:5 0:12 2168:5 l}
hit: {2079:5 1062:7 1073:6 953:5 0:9 2197:5 l}
hit: {1980:5 918:7 928:7 869:5 0:17 2236:5 l}
hit: {1986:6 975:7 1117:5 872:5 0:14 2107:5 l}
hit: {2123:9 1049:6 1121:5 1001:5 0:8 2241:5 l}
hit: {2076:10 991:10 1002:7 881:6 0:8 2125:5 l}
hit: {2061:8 1009:10 1020:5 900:5 0:5 2111:5 l}
hit: {2025:6 442:5 972:5 852:6 0:19 2075:6 l}
hit: {2079:9 992:6 1003:6 875:5 0:9 2126:5 l}
hit: {1986:5 971:11 982:8 858:5 0:22 2104:5 l}
hit: {2049:5 503:6 1050:6 865:5 0:23 2099:5 l}
hit: {1974:5 898:6 977:9 850:6 0:22 2213:5 l}
(42,30)
hit: {2214:5 737:5 820:5 2590:9 0:10 1542:5 l}
hit: {2112:5 725:5 860:5 2565:7 0:7 1396:5 l}
hit: {2159:7 724:5 2046:6 2545:7 0:9 1436:5 l}
hit: {2217:6 743:5 821:5 2109:5 0:10 1611:5 l}
hit: {2249:6 726:5 868:6 813:5 0:5 1702:5 l}
hit: {2112:6 644:6 787:5 600:5 0:11 1382:6 l}
hit: {2180:7 730:5 865:5 2572:7 0:8 1440:6 l}
hit: {2131:5 715:5 857:5 2577:7 0:8 1445:5 l}
hit: {2115:5 1663:6 2067:5 2581:6 0:7 1490:5 l}
hit: {2082:6 1628:5 2034:5 2533:6 0:9 1479:5 l}
hit: {2149:5 756:5 2039:5 2606:7 0:8 1550:5 l}
hit: {2191:5 722:6 858:6 2637:6 0:5 1649:6 l}
hit: {2166:5 1577:5 2118:5 2841:5 0:9 1682:6 l}
hit: {2151:5 671:5 2034:5 2500:5 0:10 1536:5 l}
(42,42)
hit: {2347:8 1092:5 1445:5 801:5 0:5 1136:5 l}
hit: {2296:5 1189:5 1600:5 2589:6 0:5 1098:5 l}
hit: {2373:6 1177:5 1325:5 2546:7 0:5 1086:5 l}
hit: {2335:5 1188:5 1400:5 2577:8 0:6 1092:6 l}
hit: {2497:5 1269:7 1352:6 2589:5 0:5 1245:5 l}
hit: {2340:6 1185:7 1403:5 2508:7 0:5 1033:6 l}
hit: {2292:5 1155:5 1427:5 806:5 0:5 1064:5 l}
hit: {2302:6 1160:5 1379:5 793:5 0:6 1063:6 l}
hit: {2326:5 1161:5 1308:5 840:5 0:6 1135:7 l}
hit: {2382:6 1228:7 1376:6 796:5 0:6 1137:7 l}
hit: {2336:5 1209:6 1417:5 814:5 0:5 1118:8 l}
hit: {2338:5 1189:5 1408:5 2574:5 0:5 1164:6 l}
hit: {2311:7 1188:7 1339:5 827:5 0:5 1097:5 l}
(54,6)
hit: {3004:12 1581:5 0:9 2125:8 1077:8 2915:5 l}
hit: {2943:11 979:5 0:39 2055:5 1012:9 2866:6 l}
hit: {2948:7 1563:5 0:19 2053:5 1057:8 2933:5 l}
hit: {2880:6 1484:6 0:16 2017:5 1051:11 2804:5 l}
hit: {2953:10 1049:5 0:13 2071:5 1151:12 2867:6 l}
hit: {2957:5 1041:5 0:5 2124:6 1204:10 2868:5 l}
hit: {2947:14 1524:10 0:29 2009:5 964:5 2858:5 l}
hit: {2764:5 735:5 0:12 3595:5 698:8 3617:5 l}
hit: {2943:6 1035:5 0:35 2111:5 1068:9 2854:5 l}
hit: {2981:10 1592:10 0:7 2073:5 1019:8 2891:5 l}
hit: {3039:9 1068:5 0:22 2274:6 1099:5 2901:5 l}
hit: {2990:7 1703:9 0:30 2184:5 1152:6 2913:5 l}
hit: {2987:13 1015:5 0:29 2101:6 1116:6 2898:6 l}
(54,18)
hit: {2714:7 791:6 735:9 1499:6 0:13 3102:5 l}
hit: {2733:13 735:5 613:9 1561:5 0:10 3034:5 l}
hit: {2728:12 791:7 604:6 1524:6 0:20 3028:5 l}
hit: {2727:8 779:5 663:9 1574:5 0:5 3091:5 l}
hit: {2771:8 848:6 591:12 1703:7 0:5 3162:5 l}
hit: {2735:11 778:7 594:7 1549:6 0:11 3051:6 l}
hit: {2678:16 737:8 551:9 1438:5 0:21 2979:6 l}
hit: {2736:9 794:6 671:13 1497:5 0:17 2997:5 l}
hit: {2732:8 766:6 643:11 1547:5 0:13 3032:5 l}
hit: {2702:11 720:5 662:11 1484:5 0:19 3021:5 l}
hit: {2751:14 789:5 668:9 1505:5 0:11 3052:5 l}
hit: {2772:8 801:5 743:9 1583:5 0:7 3102:5 l}
(54,30)
hit: {2804:5 1090:6 624:5 1433:5 0:6 2667:5 l}
hit: {2825:7 1066:6 641:9 1474:6 0:11 2688:7 l}
